任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
异常检测/定位,Anomaly Detection,Denoising Diffusion Models for Anomaly Localization in Medical Images,"Cosmin I. Bercea, Philippe C. Cattin, Julia A. Schnabel, Julia Wolleb","31th Oct., 2024","arXiv, 2024","DDPM类, 扩散ODE",异常检测/定位,Paper:http://arxiv.org/abs/2410.23834v1,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Leveraging the Mahalanobis Distance to enhance Unsupervised Brain MRI Anomaly Detection,"Finn Behrendt, Debayan Bhattacharya, Robin Mieling, Lennart Maack, Julia Krüger, Roland Opfer, Alexander Schlaefer","03th Oct., 2024","MICCAI, 2024",通用/未明确,异常检测/定位,Paper:https://arxiv.org/abs/2407.12474 | GitHub:https://github.com/FinnBehrendt/Mahalanobis-Unsupervised-Anomaly-Detection,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,CADD: Context aware disease deviations via restoration of brain images using normative conditional diffusion models,"Ana Lawry Aguila, Ayodeji Ijishakin, Juan Eugenio Iglesias, Tomomi Takenaga, Yukihiro Nomura, Takeharu Yoshikawa, Osamu Abe, Shouhei Hanaoka","05th Aug., 2025","arXiv, 2025","条件扩散, 扩散ODE, 规范/Normative",重建/复原驱动,Paper:http://arxiv.org/abs/2508.03594v1,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Unsupervised anomaly detection using Bayesian flow networks: application to brain FDG PET in the context of Alzheimer's disease,"Hugues Roy, Reuben Dorent, Ninon Burgos","23th Jul., 2025","arXiv, 2025","流模型/Flow, 贝叶斯/不确定性",异常检测/定位,Paper:http://arxiv.org/abs/2507.17486v1,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Harnessing EHRs for Diffusion-based Anomaly Detection on Chest X-rays,"Harim Kim, Yuhan Wang, Minkyu Ahn, Heeyoul Choi, Yuyin Zhou, Charmgil Hong","22th May., 2025","arXiv, 2025",通用/未明确,异常检测/定位,Paper:http://arxiv.org/abs/2505.17311v1,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,HDM: Hybrid Diffusion Model for Unified Image Anomaly Detection,"Zekang Weng, Jinjin Shi, Jinwei Wang, Zeming Han","26th Feb., 2025","arXiv, 2025",扩散ODE,异常检测/定位,Paper:http://arxiv.org/abs/2502.19200v1,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,MAD-AD: Masked Diffusion for Unsupervised Brain Anomaly Detection,"Farzad Beizaee, Gregory Lodygensky, Christian Desrosiers, Jose Dolz","24th Feb., 2025","arXiv, 2025",掩码/Masked机制,异常检测/定位,Paper:http://arxiv.org/abs/2502.16943v3,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Synomaly Noise and Multi-Stage Diffusion: A Novel Approach for Unsupervised Anomaly Detection in Medical Images,"Yuan Bi, Lucie Huang, Ricarda Clarenbach, Reza Ghotbi, Angelos Karlas, Nassir Navab, Zhongliang Jiang","06th Nov., 2024","arXiv, 2024",通用/未明确,异常检测/定位,Paper:http://arxiv.org/abs/2411.04004v2,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,MCDDPM: Multichannel Conditional Denoising Diffusion Model for Unsupervised Anomaly Detection in Brain MRI,"Vivek Kumar Trivedi, Bheeshm Sharma, P. Balamurugan","29th Sep., 2024","arXiv, 2024","DDPM类, 条件扩散, 扩散ODE",异常检测/定位,Paper:https://arxiv.org/abs/2409.19623 | GitHub:https://github.com/vivekkumartri/MCDDPM,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Diffusion Models with Ensembled Structure-Based Anomaly Scoring for Unsupervised Anomaly Detection,"Finn Behrendt, Debayan Bhattacharya, Lennart Maack, Julia Krüger, Roland Opfer, Robin Mieling, Alexander Schlaefer","22nd Aug., 2024","ISBI, 2024",扩散ODE,异常检测/定位,Paper:https://ieeexplore.ieee.org/abstract/document/10635828 | Github:https://github.com/FinnBehrendt/Ensembled-SSIM-for-Unsupervised-Anomaly-Detection,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Combining Reconstruction-based Unsupervised Anomaly Detection with Supervised Segmentation for Brain MRIs,"Finn Behrendt, Debayan Bhattacharya, Lennart Maack, Julia Krüger, Roland Opfer, Alexander Schlaefer","6th Jun., 2024","MIDL, 2024",通用/未明确,重建/复原驱动,Paper:https://openreview.net/forum?id=iWfUcg4FrD | Github:https://github.com/FinnBehrendt/Supervised-Anomaly-Detection-with-Diffusion-Models,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Binary Noise for Binary Tasks: Masked Bernoulli Diffusion for Unsupervised Anomaly Detection,"Julia Wolleb, Florentin Bieder, Paul Friedrich, Peter Zhang, Alicia Durrer, Philippe C. Cattin","18th Mar., 2024","arXiv, 2024",掩码/Masked机制,异常检测/定位,Paper:https://arxiv.org/abs/2403.11667 | Github:https://github.com/JuliaWolleb/Anomaly_berdif,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Diffusion Models with Implicit Guidance for Medical Anomaly Detection,"Cosmin I. Bercea, Benedikt Wiestler, Daniel Rueckert, Julia A. Schnabel","13th Mar., 2024","arXiv, 2024",扩散ODE,异常检测/定位,Paper:https://arxiv.org/abs/2403.08464 | GitHub:https://github.com/ci-ber/THOR_DDPM,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Objective and Interpretable Breast Cosmesis Evaluation with Attention Guided Denoising Diffusion Anomaly Detection Model,"Sangjoon Park, Yong Bae Kim, Jee Suk Chang, Seo Hee Choi, Hyungjin Chung, Ik Jae Lee, Hwa Kyung Byun","28th Feb., 2024","arXiv, 2024","DDPM类, 扩散ODE",异常检测/定位,Paper:https://arxiv.org/abs/2402.18362,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,MAEDiff: Masked Autoencoder-enhanced Diffusion Models for Unsupervised Anomaly Detection in Brain Images,"Rui Xu, Yunke Wang, Bo Du","19th Jan., 2024","arXiv, 2024","扩散ODE, 掩码/Masked机制",异常检测/定位,Paper:https://arxiv.org/abs/2401.10561,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Unsupervised Anomaly Detection using Aggregated Normative Diffusion,"Alexander Frotscher, Jaivardhan Kapoor, Thomas Wolfers, Christian F. Baumgartner","4th Dec., 2023","arXiv, 2023",规范/Normative,异常检测/定位,Paper:https://arxiv.org/abs/2312.01904 | Github:https://github.com/alexanderfrotscher/ANDi,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,DISYRE: Diffusion-Inspired SYnthetic REstoration for Unsupervised Anomaly Detection,"Sergio Naval Marimont, Matthew Baugh, Vasilis Siomos, Christos Tzelepis, Bernhard Kainz, Giacomo Tarroni","26th Nov., 2023","arXiv, 2023",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2311.15453,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Guided Reconstruction with Conditioned Diffusion Models for Unsupervised Anomaly Detection in Brain MRIs,"Finn Behrendt, Debayan Bhattacharya, Robin Mieling, Lennart Maack, Julia Krüger, Roland Opfer, Alexander Schlaefer","7th Dec., 2023","arXiv, 2023","条件扩散, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2310.08654 | Github:https://github.com/FinnBehrendt/Conditioned-Diffusion-Models-UAD,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Histogram- and Diffusion-Based Medical Out-of-Distribution Detection,"Evi M.C. Huijben, Sina Amirrajab, Josien P.W. Pluim","12th Oct., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2310.06420 | Github:https://github.com/evihuijben/mood_challenge,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,AnoDODE: Anomaly Detection with Diffusion ODE,"Xianyao Hu, Congming Jin","10th Aug., 2023","arXiv, 2023",扩散ODE,异常检测/定位,Paper:https://arxiv.org/abs/2310.06420,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Modality Cycles with Masked Conditional Diffusion for Unsupervised Anomaly Segmentation in MRI,"Ziyun Liang, Harry Anthony, Felix Wagner, Konstantinos Kamnitsas","30th Aug., 2023","arXiv, 2023","条件扩散, 掩码/Masked机制",异常检测/定位,Paper:https://arxiv.org/abs/2308.16150 | Github:https://github.com/ZiyunLiang/MMCCD,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Diffusion Models for Counterfactual Generation and Anomaly Detection in Brain Images,"Alessandro Fontanella, Grant Mair, Joanna Wardlaw, Emanuele Trucco, Amos Storkey","3rd Aug., 2023","arXiv, 2023",扩散ODE,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2308.02062 | Github:https://github.com/alessandro-f/Dif-fuse,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,SANO: Score-Based Diffusion Model for Anomaly Localization in Dermatology,"Alvaro Gonzalez-Jimenez, Simone Lionetti, Marc Pouly, Alexander A. Navarini","18th Jun., 2023","CVPR Workshop, 2023","Score-based, 扩散ODE",异常检测/定位,,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,"Mask, Stitch, and Re-Sample: Enhancing Robustness and Generalizability in Anomaly Detection through Automatic Diffusion Models","Cosmin I. Bercea, Michael Neumayr, Daniel Rueckert, Julia A. Schnabel","31st May, 2023","arXiv, 2023","扩散ODE, 掩码/Masked机制",异常检测/定位,Paper:https://arxiv.org/abs/2305.19643,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Unsupervised Anomaly Detection in Medical Images Using Masked Diffusion Model,"Hasan Iqbal, Umar Khalid, Jing Hua, Chen Chen","31st May, 2023","MICCAI MLMI Workshop, 2023","扩散ODE, 掩码/Masked机制",异常检测/定位,Paper:https://arxiv.org/abs/2305.19867 | Github:https://github.com/hasan1292/mDDPM,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,"Cosmin I Bercea, Benedikt Wiestler, Daniel Rueckert, Julia A Schnabel","15th Mar., 2023","arXiv, 2023",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2303.08452,（README未提供，详见论文）
